ServerTag,StashTag,MinMarkerDuration,MaxGap,RequiredDuration,TagThreshold
69,69_AI,15,6,20s,0.5
Anal Fucking,Anal Fucking_AI,15,6,20s,0.5
Ass Licking,Ass Licking_AI,15,6,20s,0.5
Ass Penetration,Ass Penetration_AI,15,6,20s,0.5
Ball Licking/Sucking,Ball Licking/Sucking_AI,5,4,20s,0.5
Blowjob,Blowjob_AI,15,6,20s,0.5
Cum on Person,Cum on Person_AI,5,4,15s,0.5
Cum Swapping,Cum Swapping_AI,5,4,15s,0.5
Cumshot,Cumshot_AI,4,4,10s,0.5
Deepthroat,Deepthroat_AI,5,4,20s,0.5
Double Penetration,Double Penetration_AI,10,4,20s,0.5
Fingering,Fingering_AI,15,6,20s,0.5
Fisting,Fisting_AI,15,6,20s,0.5
Footjob,Footjob_AI,15,6,20s,0.5
Gangbang,Gangbang_AI,15,6,20s,0.5
Gloryhole,Gloryhole_AI,15,8,20s,0.5
Grabbing Ass,Grabbing Ass_AI,10,8,20s,0.5
Grabbing Boobs,Grabbing Boobs_AI,6,6,20s,0.5
Grabbing Hair/Head,Grabbing Hair/Head_AI,6,6,20s,0.5
Handjob,Handjob_AI,15,6,20s,0.5
Kissing,Kissing_AI,10,4,20s,0.5
Licking Penis,Licking Penis_AI,6,4,20s,0.5
Masturbation,Masturbation_AI,15,10,20s,0.5
Pissing,Pissing_AI,5,4,20s,0.5
Pussy Licking (Clearly Visible),Pussy Licking (Clearly Visible)_AI,10,4,20s,0.5
Pussy Licking,Pussy Licking_AI,15,6,20s,0.5
Pussy Rubbing,Pussy Rubbing_AI,15,6,20s,0.5
Sucking Fingers,Sucking Fingers_AI,5,4,20s,0.5
Sucking Toy/Dildo,Sucking Toy/Dildo_AI,5,4,20s,0.5
Wet (Genitals),Wet (Genitals)_AI,15,6,20s,0.5
Titjob,Titjob_AI,10,4,20s,0.5
Tribbing/Scissoring,Tribbing/Scissoring_AI,15,6,20s,0.5
Undressing,Undressing_AI,15,6,20s,0.5
Vaginal Penetration,Vaginal Penetration_AI,15,6,20s,0.5
Vaginal Fucking,Vaginal Fucking_AI,15,6,20s,0.5
Vibrating,Vibrating_AI,10,6,20s,0.5
Ass,Ass_AI,-1,6,20s,0.5
Asshole,Asshole_AI,-1,6,20s,0.5
Anal Gape,Anal Gape_AI,10,6,20s,0.5
Balls,Balls_AI,-1,6,20s,0.5
Boobs,Boobs_AI,-1,6,20s,0.5
Cum,Cum_AI,10,6,20s,0.5
Dick,Dick_AI,-1,6,20s,0.5
Face,Face_AI,-1,6,20s,0.5
Feet,Feet_AI,-1,6,20s,0.5
Fingers,Fingers_AI,-1,6,20s,0.5
Belly Button,Belly Button_AI,-1,6,20s,0.5
Nipples,Nipples_AI,-1,6,20s,0.5
Thighs,Thighs_AI,-1,6,20s,0.5
Lower Legs,Lower Legs_AI,-1,6,20s,0.5
Tongue,Tongue_AI,10,6,20s,0.5
Pussy,Pussy_AI,-1,6,20s,0.5
Pussy Gape,Pussy Gape_AI,10,6,20s,0.5
Spit,Spit_AI,10,6,20s,0.5
Oiled,Oiled_AI,10,6,20s,0.5
Wet (Water),Wet (Water)_AI,10,6,20s,0.5
Chastity,Chastity_AI,10,6,20s,0.5
Bondage,Bondage_AI,10,6,20s,0.5
Female Bondage,Female Bondage_AI,-1,6,20s,0.5
Male Bondage,Male Bondage_AI,-1,6,20s,0.5
Choking,Choking_AI,5,4,20s,0.5
Pegging,Pegging_AI,10,6,20s,0.5
Nipple Clamps,Nipple Clamps_AI,10,6,20s,0.5
Gag,Gag_AI,10,6,20s,0.5
Pain,Pain_AI,10,6,20s,0.5
Anal Hook,Anal Hook_AI,10,6,20s,0.5
Chastity (Male),Chastity (Male)_AI,10,6,20s,0.5
Chastity (Female),Chastity (Female)_AI,10,6,20s,0.5
Metal Chastity,Metal Chastity_AI,10,6,20s,0.5
Plastic Chastity,Plastic Chastity_AI,10,6,20s,0.5
Cum in Chastity,Cum in Chastity_AI,10,6,20s,0.5
Crotch Roped,Crotch Roped_AI,10,6,20s,0.5
Bondaged Boobs,Bondaged Boobs_AI,10,6,20s,0.5
Tied Penis,Tied Penis_AI,10,6,20s,0.5
Tied Balls,Tied Balls_AI,10,6,20s,0.5
Clover Clamps,Clover Clamps_AI,10,6,20s,0.5
Clothes Pin,Clothes Pin_AI,10,6,20s,0.5
Weights,Weights_AI,10,6,20s,0.5
Alligator Clamp,Alligator Clamp_AI,10,6,20s,0.5
Ball Gag,Ball Gag_AI,10,6,20s,0.5
Ring Gag,Ring Gag_AI,10,6,20s,0.5
Harness Gag,Harness Gag_AI,10,6,20s,0.5
Bit Gag,Bit Gag_AI,10,6,20s,0.5
Muzzle Gag,Muzzle Gag_AI,10,6,20s,0.5
Dildo Gag,Dildo Gag_AI,10,6,20s,0.5
Inflatable Gag,Inflatable Gag_AI,10,6,20s,0.5
Tape Gag,Tape Gag_AI,10,6,20s,0.5
Rope Bondage,Rope Bondage_AI,10,6,20s,0.5
Metal Bondage,Metal Bondage_AI,10,6,20s,0.5
Leather Bondage,Leather Bondage_AI,10,6,20s,0.5
Latex Bondage,Latex Bondage_AI,10,6,20s,0.5
Collared,Collared_AI,10,6,20s,0.5
Blindfolded,Blindfolded_AI,10,6,20s,0.5
Chair Tied,Chair Tied_AI,10,6,20s,0.5
Straight Jacket,Straight Jacket_AI,10,6,20s,0.5
Yoke,Yoke_AI,10,6,20s,0.5
Whip,Whip_AI,10,6,20s,0.5
Flogger,Flogger_AI,10,6,20s,0.5
Electric Torture,Electric Torture_AI,10,6,20s,0.5
Crush Torture,Crush Torture_AI,10,6,20s,0.5
Arm Binder,Arm Binder_AI,10,6,20s,0.5
Rope Collar,Rope Collar_AI,10,6,20s,0.5
Leather Collar,Leather Collar_AI,10,6,20s,0.5
Metal Collar,Metal Collar_AI,10,6,20s,0.5
Leash,Leash_AI,10,6,20s,0.5
Pussy Fully Visible,Pussy Fully Visible_AI,15,6,20s,0.5
Pussy Closeup,Pussy Closeup_AI,15,6,20s,0.5
Pussy Very Closeup,Pussy Very Closeup_AI,15,6,20s,0.5
Wet Pussy,Wet Pussy_AI,10,6,20s,0.5
Very Wet Pussy,Very Wet Pussy_AI,5,6,20s,0.5
Cum on Pussy,Cum on Pussy_AI,5,6,20s,0.5
Small Labia,Small Labia_AI,20,6,20s,0.5
Big Labia,Big Labia_AI,20,6,20s,0.5
Pierced Pussy,Pierced Pussy_AI,20,6,20s,0.5
Pussy Hair,Pussy Hair_AI,20,6,20s,0.5
Very Hairy Pussy,Very Hairy Pussy_AI,20,6,20s,0.5
Innie,Innie_AI,20,6,20s,0.5
Medium Labia,Medium Labia_AI,20,6,20s,0.5
